Year,Series,Reference area,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Units,Value
2011,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 2,Primary education,Percent,56.98276
2014,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 2,Primary education,Percent,72.13831
2016,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 2,Primary education,Percent,84.41327
2007,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 2,Lower secondary education,Percent,20.96828
2011,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 2,Lower secondary education,Percent,37.811
2014,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 2,Lower secondary education,Percent,60.78862
2016,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 2,Lower secondary education,Percent,66.32334
2007,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 3,Primary education,Percent,56.22236
2011,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 3,Primary education,Percent,69.71805
2014,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 3,Primary education,Percent,81.70695
2016,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 3,Primary education,Percent,83.19475
2007,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 3,Lower secondary education,Percent,21.51662
2011,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 3,Lower secondary education,Percent,62.3705
2014,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 3,Lower secondary education,Percent,55.55971
2016,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 3,Lower secondary education,Percent,65.06721
2007,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 4,Primary education,Percent,61.2252
2011,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 4,Primary education,Percent,83.80869
2014,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 4,Primary education,Percent,76.06761
2016,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 4,Primary education,Percent,89.68022
2007,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 4,Lower secondary education,Percent,44.58051
2011,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 4,Lower secondary education,Percent,70.01537
2014,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 4,Lower secondary education,Percent,76.3196
2016,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 4,Lower secondary education,Percent,75.86554
2007,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 4,Upper secondary education,Percent,3.07834
2007,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 5 (richest),Primary education,Percent,81.87231
2011,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 5 (richest),Primary education,Percent,92.93546
2014,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 5 (richest),Primary education,Percent,94.62802
2016,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 5 (richest),Primary education,Percent,97.07778
2007,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 5 (richest),Lower secondary education,Percent,68.09111
2011,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 5 (richest),Lower secondary education,Percent,85.62861
2014,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 5 (richest),Lower secondary education,Percent,95.48434
2016,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 5 (richest),Lower secondary education,Percent,93.13476
2007,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 5 (richest),Upper secondary education,Percent,19.85696
2001,SE_TOT_CPLR,Nepal,Male,,,Primary education,Percent,60.28
2007,SE_TOT_CPLR,Nepal,Male,,,Primary education,Percent,68.95041
2011,SE_TOT_CPLR,Nepal,Male,,,Primary education,Percent,78.93256
2014,SE_TOT_CPLR,Nepal,Male,,,Primary education,Percent,76.88139
2016,SE_TOT_CPLR,Nepal,Male,,,Primary education,Percent,83.98817
2001,SE_TOT_CPLR,Nepal,Male,,,Lower secondary education,Percent,36.67
2007,SE_TOT_CPLR,Nepal,Male,,,Lower secondary education,Percent,49.06918
2011,SE_TOT_CPLR,Nepal,Male,,,Lower secondary education,Percent,65.75764
2014,SE_TOT_CPLR,Nepal,Male,,,Lower secondary education,Percent,68.36629
2016,SE_TOT_CPLR,Nepal,Male,,,Lower secondary education,Percent,71.76302
2001,SE_TOT_CPLR,Nepal,Male,,,Upper secondary education,Percent,8.1
2007,SE_TOT_CPLR,Nepal,Male,,,Upper secondary education,Percent,10.9582
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 1 (poorest),Primary education,Percent,58.56118
2011,SE_TOT_CPLR,Nepal,Male,,Quintile 1 (poorest),Primary education,Percent,64.87993
2014,SE_TOT_CPLR,Nepal,Male,,Quintile 1 (poorest),Primary education,Percent,73.67831
2016,SE_TOT_CPLR,Nepal,Male,,Quintile 1 (poorest),Primary education,Percent,82.71322
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 1 (poorest),Lower secondary education,Percent,31.57427
2011,SE_TOT_CPLR,Nepal,Male,,Quintile 1 (poorest),Lower secondary education,Percent,48.57789
2014,SE_TOT_CPLR,Nepal,Male,,Quintile 1 (poorest),Lower secondary education,Percent,56.40549
2016,SE_TOT_CPLR,Nepal,Male,,Quintile 1 (poorest),Lower secondary education,Percent,55.62227
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 1 (poorest),Upper secondary education,Percent,0.46449
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 2,Primary education,Percent,61.89812
2011,SE_TOT_CPLR,Nepal,Male,,Quintile 2,Primary education,Percent,69.97235
2014,SE_TOT_CPLR,Nepal,Male,,Quintile 2,Primary education,Percent,69.55293
2016,SE_TOT_CPLR,Nepal,Male,,Quintile 2,Primary education,Percent,82.87968
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 2,Lower secondary education,Percent,27.9605
2011,SE_TOT_CPLR,Nepal,Male,,Quintile 2,Lower secondary education,Percent,52.47877
2014,SE_TOT_CPLR,Nepal,Male,,Quintile 2,Lower secondary education,Percent,59.03199
2016,SE_TOT_CPLR,Nepal,Male,,Quintile 2,Lower secondary education,Percent,60.72276
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 2,Upper secondary education,Percent,3.93287
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 3,Primary education,Percent,66.28458
2011,SE_TOT_CPLR,Nepal,Male,,Quintile 3,Primary education,Percent,82.53158
2014,SE_TOT_CPLR,Nepal,Male,,Quintile 3,Primary education,Percent,75.10269
2016,SE_TOT_CPLR,Nepal,Male,,Quintile 3,Primary education,Percent,78.37257
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 3,Lower secondary education,Percent,34.68941
2011,SE_TOT_CPLR,Nepal,Male,,Quintile 3,Lower secondary education,Percent,58.74224
2014,SE_TOT_CPLR,Nepal,Male,,Quintile 3,Lower secondary education,Percent,66.41428
2016,SE_TOT_CPLR,Nepal,Male,,Quintile 3,Lower secondary education,Percent,67.28465
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 3,Upper secondary education,Percent,4.48229
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 4,Primary education,Percent,76.18697
2011,SE_TOT_CPLR,Nepal,Male,,Quintile 4,Primary education,Percent,83.0035
2014,SE_TOT_CPLR,Nepal,Male,,Quintile 4,Primary education,Percent,79.87087
2016,SE_TOT_CPLR,Nepal,Male,,Quintile 4,Primary education,Percent,83.83933
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 4,Lower secondary education,Percent,56.35163
2011,SE_TOT_CPLR,Nepal,Male,,Quintile 4,Lower secondary education,Percent,72.81801
2014,SE_TOT_CPLR,Nepal,Male,,Quintile 4,Lower secondary education,Percent,74.73174
2016,SE_TOT_CPLR,Nepal,Male,,Quintile 4,Lower secondary education,Percent,75.64617
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 4,Upper secondary education,Percent,9.94208
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 5 (richest),Primary education,Percent,83.35989
2011,SE_TOT_CPLR,Nepal,Male,,Quintile 5 (richest),Primary education,Percent,94.34474
2014,SE_TOT_CPLR,Nepal,Male,,Quintile 5 (richest),Primary education,Percent,90.12327
2016,SE_TOT_CPLR,Nepal,Male,,Quintile 5 (richest),Primary education,Percent,93.13516
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 5 (richest),Lower secondary education,Percent,76.25385
2011,SE_TOT_CPLR,Nepal,Male,,Quintile 5 (richest),Lower secondary education,Percent,92.20203
2014,SE_TOT_CPLR,Nepal,Male,,Quintile 5 (richest),Lower secondary education,Percent,84.03764
2016,SE_TOT_CPLR,Nepal,Male,,Quintile 5 (richest),Lower secondary education,Percent,92.70837
2007,SE_TOT_CPLR,Nepal,Male,,Quintile 5 (richest),Upper secondary education,Percent,23.77997
2007,SE_TOT_CPLR,Nepal,Male,Rural,,Primary education,Percent,67.54168
2011,SE_TOT_CPLR,Nepal,Male,Rural,,Primary education,Percent,77.64993
2014,SE_TOT_CPLR,Nepal,Male,Rural,,Primary education,Percent,75.13045
2016,SE_TOT_CPLR,Nepal,Male,Rural,,Primary education,Percent,80.4795
2007,SE_TOT_CPLR,Nepal,Male,Rural,,Lower secondary education,Percent,43.90357
2011,SE_TOT_CPLR,Nepal,Male,Rural,,Lower secondary education,Percent,63.49002
2014,SE_TOT_CPLR,Nepal,Male,Rural,,Lower secondary education,Percent,65.58968
2016,SE_TOT_CPLR,Nepal,Male,Rural,,Lower secondary education,Percent,64.08818
2007,SE_TOT_CPLR,Nepal,Male,Rural,,Upper secondary education,Percent,7.94114
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 1 (poorest),Primary education,Percent,58.73935
2011,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 1 (poorest),Primary education,Percent,64.90023
2014,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 1 (poorest),Primary education,Percent,73.39239
2016,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 1 (poorest),Primary education,Percent,86.54915
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 1 (poorest),Lower secondary education,Percent,31.32955
2011,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 1 (poorest),Lower secondary education,Percent,49.08051
2014,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 1 (poorest),Lower secondary education,Percent,56.91075
2016,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 1 (poorest),Lower secondary education,Percent,60.04433
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 1 (poorest),Upper secondary education,Percent,0.4719
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 2,Primary education,Percent,61.59152
2011,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 2,Primary education,Percent,70.47116
2014,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 2,Primary education,Percent,69.21786
2016,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 2,Primary education,Percent,79.47212
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 2,Lower secondary education,Percent,28.3118
2011,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 2,Lower secondary education,Percent,53.04344
2014,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 2,Lower secondary education,Percent,58.25738
2016,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 2,Lower secondary education,Percent,62.54962
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 2,Upper secondary education,Percent,4.25313
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 3,Primary education,Percent,67.02373
2011,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 3,Primary education,Percent,82.46835
2014,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 3,Primary education,Percent,74.61621
2016,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 3,Primary education,Percent,73.20076
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 3,Lower secondary education,Percent,34.83608
2011,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 3,Lower secondary education,Percent,58.2578
2014,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 3,Lower secondary education,Percent,65.78375
2016,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 3,Lower secondary education,Percent,62.94761
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 3,Upper secondary education,Percent,4.72955
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 4,Primary education,Percent,77.66043
2011,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 4,Primary education,Percent,82.38268
2014,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 4,Primary education,Percent,81.17754
2016,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 4,Primary education,Percent,76.95629
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 4,Lower secondary education,Percent,56.31774
2011,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 4,Lower secondary education,Percent,75.00953
2014,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 4,Lower secondary education,Percent,76.86573
2016,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 4,Lower secondary education,Percent,67.07607
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 4,Upper secondary education,Percent,10.17325
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 5 (richest),Primary education,Percent,83.78006
2011,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 5 (richest),Primary education,Percent,95.71908
2014,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 5 (richest),Primary education,Percent,85.45391
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 5 (richest),Lower secondary education,Percent,76.31595
2011,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 5 (richest),Lower secondary education,Percent,93.4605
2014,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 5 (richest),Lower secondary education,Percent,79.11438
2007,SE_TOT_CPLR,Nepal,Male,Rural,Quintile 5 (richest),Upper secondary education,Percent,25.81477
2007,SE_TOT_CPLR,Nepal,Male,Urban,,Primary education,Percent,76.88461
2011,SE_TOT_CPLR,Nepal,Male,Urban,,Primary education,Percent,87.42595
2014,SE_TOT_CPLR,Nepal,Male,Urban,,Primary education,Percent,86.84059
2016,SE_TOT_CPLR,Nepal,Male,Urban,,Primary education,Percent,86.22394
2007,SE_TOT_CPLR,Nepal,Male,Urban,,Lower secondary education,Percent,69.50385
2011,SE_TOT_CPLR,Nepal,Male,Urban,,Lower secondary education,Percent,78.21576
2014,SE_TOT_CPLR,Nepal,Male,Urban,,Lower secondary education,Percent,79.74046
2016,SE_TOT_CPLR,Nepal,Male,Urban,,Lower secondary education,Percent,76.09844
2007,SE_TOT_CPLR,Nepal,Male,Urban,,Upper secondary education,Percent,19.07345
2007,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 1 (poorest),Primary education,Percent,51.01226
2014,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 1 (poorest),Primary education,Percent,80.94787
2016,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 1 (poorest),Primary education,Percent,76.74567
2014,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 1 (poorest),Lower secondary education,Percent,41.6214
2016,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 1 (poorest),Lower secondary education,Percent,46.37322
2011,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 2,Primary education,Percent,50.53035
2014,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 2,Primary education,Percent,76.22314
2016,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 2,Primary education,Percent,85.16776
2007,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 2,Lower secondary education,Percent,20.04698
2014,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 2,Lower secondary education,Percent,76.58688
2016,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 2,Lower secondary education,Percent,59.59055
2007,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 3,Primary education,Percent,47.9758
2011,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 3,Primary education,Percent,83.8007
2014,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 3,Primary education,Percent,84.83354
2016,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 3,Primary education,Percent,82.8844
2007,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 3,Lower secondary education,Percent,30.84559
2011,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 3,Lower secondary education,Percent,69.36165
2014,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 3,Lower secondary education,Percent,79.68967
2016,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 3,Lower secondary education,Percent,71.2562
2007,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 4,Primary education,Percent,67.19431
2011,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 4,Primary education,Percent,85.98402
2014,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 4,Primary education,Percent,73.38802
2016,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 4,Primary education,Percent,87.12906
2007,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 4,Lower secondary education,Percent,56.59568
2011,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 4,Lower secondary education,Percent,63.48729
2014,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 4,Lower secondary education,Percent,66.93819
2016,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 4,Lower secondary education,Percent,79.10221
2007,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 4,Upper secondary education,Percent,8.77095
2007,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 5 (richest),Primary education,Percent,83.08259
2011,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 5 (richest),Primary education,Percent,92.39951
2014,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 5 (richest),Primary education,Percent,93.86486
2016,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 5 (richest),Primary education,Percent,93.66945
2007,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 5 (richest),Lower secondary education,Percent,76.21151
2011,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 5 (richest),Lower secondary education,Percent,90.72115
2014,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 5 (richest),Lower secondary education,Percent,86.83593
2016,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 5 (richest),Lower secondary education,Percent,93.41608
2007,SE_TOT_CPLR,Nepal,Male,Urban,Quintile 5 (richest),Upper secondary education,Percent,22.85636
