Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.69876
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.74358
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.67572
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.69816
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.74343
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.77713
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.81653
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.85522
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.89317
2000,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.04739
2001,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.0495
2002,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.03753
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.04024
2004,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.03722
2005,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.0438
2006,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.03458
2007,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.03529
2008,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.03977
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.04446
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.05406
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.05833
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.06503
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.06168
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.07524
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.06662
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.06828
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Fossil fuels (material flows),Metric Tons,0.06991
2000,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.01811
2001,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.02036
2002,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.00928
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.01162
2004,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.01015
2005,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.01611
2006,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.00998
2007,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.01251
2008,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.01167
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.01167
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.01869
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.02196
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.02604
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.01987
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.02846
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.01895
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.01973
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Coal (material flows),Metric Tons,0.02049
2000,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.02927
2001,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.02914
2002,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.02825
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.02862
2004,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.02706
2005,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.02769
2006,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.02459
2007,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.02277
2008,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.0281
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.0328
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.03538
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.03637
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.03899
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.04181
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.04678
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.04767
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.04855
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Petroleum (material flows),Metric Tons,0.04942
2000,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,5.6082
2001,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,5.86039
2002,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,6.42547
2003,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,7.01835
2004,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,6.54478
2005,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,6.44566
2006,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,6.2495
2007,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,6.01924
2008,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,5.85756
2009,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,5.78021
2010,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,5.69908
2011,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,5.62839
2012,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,5.69069
2013,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,5.47181
2014,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,5.41284
2015,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,5.37799
2016,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,5.50868
2017,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,None,Kilograms per constant USD,5.26654
2000,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,0.23983
2001,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,0.69382
2002,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.18169
2003,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.7901
2004,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.4977
2005,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.44837
2006,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.40339
2007,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.2845
2008,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.2268
2009,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.20148
2010,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.22182
2011,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.07721
2012,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.07615
2013,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.11461
2014,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.11276
2015,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.14566
2016,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.20936
2017,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,1.18863
2000,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.00074
2001,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.00057
2002,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.00045
2003,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.00877
2004,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.00258
2005,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.00316
2006,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.003
2007,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.00315
2008,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.0017
2009,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.00151
2010,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.01238
2011,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.01945
2012,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.018
2013,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.01786
2014,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.01765
2015,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.01737
2016,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.01759
2017,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,0.01663
2000,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,5.26538
2001,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,5.06309
2002,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,5.1641
2003,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,5.09506
2004,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,4.97009
2005,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,4.90842
2006,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,4.77687
2007,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,4.66554
2008,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,4.55819
2009,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,4.48519
2010,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,4.32596
2011,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,4.39544
2012,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,4.44978
2013,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,4.17102
2014,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,4.11315
2015,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,4.05837
2016,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,4.11859
2017,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Kilograms per constant USD,3.9028
2000,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.25974
2001,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.22175
2002,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.26588
2003,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.28394
2004,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.2681
2005,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.26505
2006,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.24633
2007,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.2139
2008,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.20597
2009,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.19024
2010,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.17869
2011,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.23756
2012,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.29328
2013,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.19424
2014,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.19574
2015,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.18984
2016,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.21736
2017,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Kilograms per constant USD,1.16259
2000,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.43458
2001,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.38844
2002,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.41824
2003,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.39663
2004,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.3859
2005,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.3725
2006,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.33508
2007,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.27509
2008,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.27788
2009,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.24345
2010,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.17034
2011,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.23606
2012,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.26542
2013,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.13584
2014,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.16977
2015,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.15526
2016,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.17354
2017,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Kilograms per constant USD,1.11309
2000,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.70324
2001,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.63223
2002,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.66136
2003,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.62502
2004,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.56364
2005,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.54438
2006,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.49465
2007,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.49959
2008,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.43695
2009,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.44133
2010,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.39144
2011,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.35525
2012,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.35942
2013,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.33188
2014,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.26129
2015,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.24268
2016,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.25943
2017,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Kilograms per constant USD,1.1919
2000,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.86627
2001,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.81923
2002,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.81706
2003,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.78785
2004,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.75085
2005,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.72495
2006,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.69929
2007,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.67545
2008,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.63578
2009,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.60841
2010,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.58385
2011,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.56455
2012,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.52973
2013,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.50733
2014,Domestic material consumption per unit of GDP,,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Kilograms per constant USD,0.48473
