Year,Series,Reference area,Sex,Age,Units,Value
2014,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.04
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.04
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.03
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.03
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.03
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.02
2000,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.53
2001,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.5
2002,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.48
2003,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.46
2004,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.42
2005,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.39
2006,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.34
2007,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.29
2008,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.26
2009,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.23
2010,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.2
2011,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.17
2012,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.15
2013,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.13
2014,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.12
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.11
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.1
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.09
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.07
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 49 years old,"Per 1,000 uninfected population",0.07
